Company,Fuel_Type,CC,HP,Speed,Acceleration,Price,Torque,Seats,Price_Log,Torque_Log,CC_Scaled,HP_Scaled,Speed_Scaled,Acceleration_Scaled
BMW,Petrol,2993.0,503.0,285.0,4.1,69000.0,650.0,5.0,11.141876276228,6.478509642208569,0.10050073472178482,0.8783816297291004,1.2930622292894285,-1.0513618675845502
BMW,Petrol,4395.0,523.0,305.0,3.3,146000.0,750.0,5.0,11.891368749982085,6.621405651764134,0.8374033198321573,0.9682224764703786,1.6703454151641004,-1.293581705286354
BMW,Petrol,4935.0,523.0,285.0,3.7,108000.0,750.0,4.0,11.58989576532275,6.621405651764134,1.1212317049673934,0.9682224764703786,1.2930622292894285,-1.172471786435452
ROLLS ROYCE,Petrol,6592.0,563.0,250.0,4.8,398000.0,840.0,4.0,12.894209796826232,6.734591659972948,1.992164360836072,1.147904169952935,0.6328166540087526,-0.8394195095954718
ROLLS ROYCE,Petrol,6749.0,563.0,250.0,5.1,381000.0,850.0,5.0,12.850557278777309,6.7464121285733745,2.074684835773539,1.147904169952935,0.6328166540087526,-0.7485870704572956
ROLLS ROYCE,Petrol,6749.0,563.0,250.0,5.3,475000.0,900.0,5.0,13.07107218827772,6.803505257608338,2.074684835773539,1.147904169952935,0.6328166540087526,-0.6880321110318445
ROLLS ROYCE,Petrol,6749.0,563.0,250.0,4.9,335000.0,900.0,5.0,12.721888795877375,6.803505257608338,2.074684835773539,1.147904169952935,0.6328166540087526,-0.8091420298827463
ROLLS ROYCE,Petrol,6592.0,623.0,250.0,4.5,349000.0,800.0,4.0,12.762830066509972,6.68586094706836,1.992164360836072,1.4174267101767697,0.6328166540087526,-0.9302519487336482
ROLLS ROYCE,Petrol,6749.0,563.0,250.0,5.3,495000.0,900.0,5.0,13.112315061750808,6.803505257608338,2.074684835773539,1.147904169952935,0.6328166540087526,-0.6880321110318445
ROLLS ROYCE,Petrol,6749.0,563.0,250.0,4.9,355000.0,900.0,5.0,12.779875885354993,6.803505257608338,2.074684835773539,1.147904169952935,0.6328166540087526,-0.8091420298827463
ROLLS ROYCE,Petrol,6592.0,623.0,250.0,4.5,369000.0,800.0,4.0,12.818554633046093,6.68586094706836,1.992164360836072,1.4174267101767697,0.6328166540087526,-0.9302519487336482
ROLLS ROYCE,Petrol,6592.0,563.0,250.0,4.8,418000.0,840.0,4.0,12.94323910384853,6.734591659972948,1.992164360836072,1.147904169952935,0.6328166540087526,-0.8394195095954718
ROLLS ROYCE,Petrol,6749.0,563.0,250.0,5.1,401000.0,850.0,5.0,12.901719200051183,6.7464121285733745,2.074684835773539,1.147904169952935,0.6328166540087526,-0.7485870704572956
ROLLS ROYCE,Petrol,6749.0,563.0,250.0,5.3,515000.0,900.0,5.0,13.151924121391561,6.803505257608338,2.074684835773539,1.147904169952935,0.6328166540087526,-0.6880321110318445
ROLLS ROYCE,Petrol,6749.0,563.0,250.0,4.9,375000.0,900.0,5.0,12.834683971615659,6.803505257608338,2.074684835773539,1.147904169952935,0.6328166540087526,-0.8091420298827463
ROLLS ROYCE,Petrol,6592.0,623.0,250.0,4.5,389000.0,800.0,4.0,12.871337193291367,6.68586094706836,1.992164360836072,1.4174267101767697,0.6328166540087526,-0.9302519487336482
ROLLS ROYCE,Petrol,6592.0,563.0,250.0,4.8,439000.0,840.0,4.0,12.992256969959042,6.734591659972948,1.992164360836072,1.147904169952935,0.6328166540087526,-0.8394195095954718
ROLLS ROYCE,Petrol,6749.0,563.0,250.0,5.1,421000.0,850.0,5.0,12.95039048795861,6.7464121285733745,2.074684835773539,1.147904169952935,0.6328166540087526,-0.7485870704572956
AUDI,Petrol,5204.0,610.0,330.0,3.2,194000.0,560.0,2.0,12.175618592671356,6.329720905522696,1.2626202894143908,1.3590301597949388,2.14194939750744,-1.3238591849990793
AUDI,Petrol,3993.0,591.0,305.0,3.6,114000.0,800.0,5.0,11.643962499267984,6.68586094706836,0.6261088553425925,1.2736813553907245,1.6703454151641004,-1.2027492661481776
AUDI,Petrol,3993.0,563.0,305.0,4.3,101000.0,800.0,5.0,11.522885696764481,6.68586094706836,0.6261088553425925,1.147904169952935,1.6703454151641004,-0.9908069081590992
AUDI,Petrol,3993.0,591.0,305.0,3.6,109000.0,800.0,5.0,11.599112335481124,6.68586094706836,0.6261088553425925,1.2736813553907245,1.6703454151641004,-1.2027492661481776
AUDI,Petrol,3993.0,563.0,305.0,4.3,96000.0,650.0,5.0,11.472113887062386,6.478509642208569,0.6261088553425925,1.147904169952935,1.6703454151641004,-0.9908069081590992
AUDI,Petrol,2995.0,335.0,250.0,5.7,86000.0,600.0,5.0,11.362114203075018,6.398594934535208,0.10155195096302644,0.12371851710236319,0.6328166540087526,-0.5669221921809425
AUDI,Petrol,2995.0,349.0,250.0,4.8,64000.0,500.0,4.0,11.06665398721974,6.2166061010848646,0.10155195096302644,0.18660710982125794,0.6328166540087526,-0.8394195095954718
AUDI,Petrol,2995.0,349.0,250.0,5.4,62000.0,500.0,5.0,11.034905792929415,6.2166061010848646,0.10155195096302644,0.18660710982125794,0.6328166540087526,-0.6577546313191189
AUDI,Petrol,2995.0,349.0,250.0,4.7,59000.0,500.0,5.0,10.985309671896763,6.2166061010848646,0.10155195096302644,0.18660710982125794,0.6328166540087526,-0.8696969893081973
AUDI,Petrol,1984.0,306.0,250.0,4.8,52000.0,400.0,5.0,10.859018228147887,5.993961427306569,-0.4298378589846102,-0.006550710672490246,0.6328166540087526,-0.8394195095954718
AUDI,Petrol,2995.0,335.0,250.0,6.3,60000.0,600.0,7.0,11.002116507732017,6.398594934535208,0.10155195096302644,0.12371851710236319,0.6328166540087526,-0.3852573139045898
AUDI,Petrol,1984.0,248.0,240.0,6.3,43000.0,500.0,5.0,10.668978650219241,6.2166061010848646,-0.4298378589846102,-0.26708916622219714,0.4441750610714167,-0.3852573139045898
AUDI,Petrol,2995.0,335.0,250.0,5.7,68000.0,600.0,5.0,11.127277689932466,6.398594934535208,0.10155195096302644,0.12371851710236319,0.6328166540087526,-0.5669221921809425
AUDI,Petrol,2995.0,335.0,250.0,5.7,58000.0,600.0,5.0,10.968215530759236,6.398594934535208,0.10155195096302644,0.12371851710236319,0.6328166540087526,-0.5669221921809425
AUDI,Petrol,1984.0,248.0,240.0,6.3,45000.0,500.0,4.0,10.714439990727769,6.2166061010848646,-0.4298378589846102,-0.26708916622219714,0.4441750610714167,-0.3852573139045898
AUDI,Petrol,1984.0,248.0,240.0,6.5,39000.0,400.0,5.0,10.571342565808699,5.993961427306569,-0.4298378589846102,-0.26708916622219714,0.4441750610714167,-0.32470235447913876
AUDI,Petrol,1984.0,248.0,230.0,7.3,35000.0,400.0,5.0,10.463131911491967,5.993961427306569,-0.4298378589846102,-0.26708916622219714,0.2555334681340808,-0.08248251677733504
